Gene Symbol	CUI Term	Phenotype Name	
SCN5A	C1142166	Brugada Syndrome	
RET	C0019569	Hirschsprung Disease	
ITPKC	C0026691	Mucocutaneous Lymph Node Syndrome	
CCND1	C0026764	Multiple Myeloma	
FBN1	C0162872	Aortic Aneurysm, Thoracic	
BAG3	C0007193	Cardiomyopathy, Dilated	
TRAF3IP2	C0033860	Psoriasis	
ESR1	C1458155	Breast Neoplasms	
BRCA2	C1458155	Breast Neoplasms	
SCN5A	C1142166	Brugada Syndrome	
RET	C0019569	Hirschsprung Disease	
ITPKC	C0026691	Mucocutaneous Lymph Node Syndrome	
CCND1	C0026764	Multiple Myeloma	
FBN1	C0162872	Aortic Aneurysm, Thoracic	
BAG3	C0007193	Cardiomyopathy, Dilated	
TRAF3IP2	C0033860	Psoriasis	
ESR1	C1458155	Breast Neoplasms	
BRCA2	C1458155	Breast Neoplasms	
STAT4	C0024141	Lupus Erythematosus, Systemic	
ITGAM	C0024141	Lupus Erythematosus, Systemic	
IRF5	C0024141	Lupus Erythematosus, Systemic	
PTPN22	C0024141	Lupus Erythematosus, Systemic	
BANK1	C0024141	Lupus Erythematosus, Systemic	
FCGR2A	C0024141	Lupus Erythematosus, Systemic	
APOE	C0002395	Alzheimer Disease	
ABCA7	C0002395	Alzheimer Disease	
SORL1	C0002395	Alzheimer Disease	
ACE	C0002395	Alzheimer Disease	
HLA-DRB1	C0026769	Multiple Sclerosis	
HLA-DQB1	C0026769	Multiple Sclerosis	
MC4R	C0028754	Obesity	
PAX4	C0011849	Diabetes Mellitus, Type 1	
SNCA	C0030567	Parkinson Disease	
MAPT	C0030567	Parkinson Disease	
LRRK2	C0030567	Parkinson Disease	
VPS13C	C0030567	Parkinson Disease	
TP53	C0017638	Glioma	
HLA-DQA1	C0007570	Celiac Disease	
PRNP	C0022336	Creutzfeldt-Jakob Syndrome	
C9orf72	C0002736	Amyotrophic Lateral Sclerosis	
TNFRSF11A	C0029401	Osteitis Deformans	
BTNL2	C0036202	Sarcoidosis	
LOXL1	C0206368	Exfoliation Syndrome	
NOD2	C0010346	Crohn Disease	
A2M	C0002395	Alzheimer Disease	
APBB2	C0002395	Alzheimer Disease	
APP	C0002395	Alzheimer Disease	
BLMH	C0002395	Alzheimer Disease	
HFE	C0002395	Alzheimer Disease	
MPO	C0002395	Alzheimer Disease	
NOS3	C0002395	Alzheimer Disease	
PAXIP1	C0002395	Alzheimer Disease	
PLAU	C0002395	Alzheimer Disease	
