Gene Symbol	CUI Term	Phenotype Name	
DGKK	C0848558	Hypospadias	
HAAO	C0848558	Hypospadias	
EEFSEC	C0848558	Hypospadias	
E2F4P1	C0848558	Hypospadias	
DAAM2	C0848558	Hypospadias	
ZFHX3	C0848558	Hypospadias	
IRX5	C0848558	Hypospadias	
IRX6	C0848558	Hypospadias	
TTC4P1	C0848558	Hypospadias	
HMGN1P19	C0848558	Hypospadias	
XKR9	C0848558	Hypospadias	
EYA1	C0848558	Hypospadias	
LINC00977	C0848558	Hypospadias	
MIR3686	C0848558	Hypospadias	
TAX1BP1	C0848558	Hypospadias	
HOXA3	C0848558	Hypospadias	
HOXA4	C0848558	Hypospadias	
HOXA-AS2	C0848558	Hypospadias	
PKDCC	C0848558	Hypospadias	
EML4	C0848558	Hypospadias	
KCNMA1	C0848558	Hypospadias	
GREM1	C0848558	Hypospadias	
FTH1P21	C0848558	Hypospadias	
PDGFC	C0848558	Hypospadias	
DNAH6	C0848558	Hypospadias	
EXOC3	C0848558	Hypospadias	
CCDC59	C0848558	Hypospadias	
ADK	C0848558	Hypospadias	
MARK2P11	C0848558	Hypospadias	
EBF1	C0848558	Hypospadias	
LINC00917	C0848558	Hypospadias	
FENDRR	C0848558	Hypospadias	
LOC285740	C0848558	Hypospadias	
ST5	C0848558	Hypospadias	
SCN10A	C1142166	Brugada Syndrome	
HEY2	C1142166	Brugada Syndrome	
TRE-CTC1-7	C1142166	Brugada Syndrome	
SCN5A	C1142166	Brugada Syndrome	
PKD2	C0018099	Gout	
ABCG2	C0018099	Gout	
SLC2A9	C0018099	Gout	
MYL2	C0018099	Gout	
CUX2	C0018099	Gout	
BCAS3	C0018099	Gout	
TAB3	C0018099	Gout	
FTHL17	C0018099	Gout	
GCKR	C0018099	Gout	
AGBL4	C0018099	Gout	
ZFYVE9P1	C0018099	Gout	
MAGEA13P	C0018099	Gout	
LINC00907	C0018099	Gout	
RELN	C0018099	Gout	
MRPS33P2	C0018099	Gout	
LINC01258	C0018099	Gout	
ASIC2	C0018099	Gout	
CNTLN	C0018099	Gout	
TMSB4XP8	C0018099	Gout	
GRID2	C0018099	Gout	
TLL1	C0018099	Gout	
CNIH2	C0018099	Gout	
KCNQ1	C0018099	Gout	
ATP1A4	C0018099	Gout	
RARB	C0018099	Gout	
LRTM1	C0018099	Gout	
WNT5A	C0018099	Gout	
PPARGC1A	C0018099	Gout	
FAT1	C0018099	Gout	
MRPS36P2	C0018099	Gout	
FSTL4	C0018099	Gout	
PPARD	C0018099	Gout	
SLC22A1	C0018099	Gout	
JAZF1	C0018099	Gout	
PDE1C	C0018099	Gout	
TPST1	C0018099	Gout	
HGF	C0018099	Gout	
LHFPL3	C0018099	Gout	
CFTR	C0018099	Gout	
TRPA1	C0018099	Gout	
RNA5SP271	C0018099	Gout	
PTPRD	C0018099	Gout	
ABCA1	C0018099	Gout	
CYP2C8	C0018099	Gout	
CYP2E1	C0018099	Gout	
SLC22A18AS	C0018099	Gout	
ABCC8	C0018099	Gout	
ALX4	C0018099	Gout	
MAP3K11	C0018099	Gout	
WNT5B	C0018099	Gout	
ABCC9	C0018099	Gout	
VDR	C0018099	Gout	
BDKRB2	C0018099	Gout	
LOC102724766	C0018099	Gout	
RBFOX1	C0018099	Gout	
PRKCA	C0018099	Gout	
KRT18P3	C0018099	Gout	
CYB5AP4	C0018099	Gout	
SLC13A3	C0018099	Gout	
ABCG1	C0018099	Gout	
CTBP2P3	C0018099	Gout	
HMGN1P31	C0018099	Gout	
CLDN24	C0018099	Gout	
CDKN2AIP	C0018099	Gout	
FGFR2	C0018099	Gout	
OR13C3	C0018099	Gout	
OR13C8	C0018099	Gout	
SLC22A11	C0018099	Gout	
GRIK2	C0018099	Gout	
TTC6	C0018099	Gout	
SSTR1	C0018099	Gout	
BCL11A	C0002895	Anemia, Sickle Cell	
OR51L1	C0002895	Anemia, Sickle Cell	
OR51P1P	C0002895	Anemia, Sickle Cell	
UGT1A1	C0002895	Anemia, Sickle Cell	
UGT1A4	C0002895	Anemia, Sickle Cell	
UGT1A8	C0002895	Anemia, Sickle Cell	
UGT1A6	C0002895	Anemia, Sickle Cell	
UGT1A10	C0002895	Anemia, Sickle Cell	
UGT1A7	C0002895	Anemia, Sickle Cell	
UGT1A5	C0002895	Anemia, Sickle Cell	
UGT1A9	C0002895	Anemia, Sickle Cell	
UGT1A3	C0002895	Anemia, Sickle Cell	
MIR3662	C0002895	Anemia, Sickle Cell	
MYB	C0002895	Anemia, Sickle Cell	
OR51I1	C0002895	Anemia, Sickle Cell	
OR51I2	C0002895	Anemia, Sickle Cell	
NPRL3	C0002895	Anemia, Sickle Cell	
ARAP1	C0002895	Anemia, Sickle Cell	
B3GAT2	C0002895	Anemia, Sickle Cell	
LYPLA1P3	C0002895	Anemia, Sickle Cell	
MIR4301	C0002895	Anemia, Sickle Cell	
TMPRSS5	C0002895	Anemia, Sickle Cell	
NCK2	C0002895	Anemia, Sickle Cell	
C2orf40	C0002895	Anemia, Sickle Cell	
MCC	C0002895	Anemia, Sickle Cell	
HLX-AS1	C0002895	Anemia, Sickle Cell	
LINC01191	C0002895	Anemia, Sickle Cell	
SEPHS1P7	C0002895	Anemia, Sickle Cell	
TENM3	C0002895	Anemia, Sickle Cell	
LRRTM1	C0002895	Anemia, Sickle Cell	
MTND4P25	C0002895	Anemia, Sickle Cell	
PHEX	C0002895	Anemia, Sickle Cell	
ABCB11	C0002895	Anemia, Sickle Cell	
LOC102724020	C0002895	Anemia, Sickle Cell	
CLEC12B	C0002895	Anemia, Sickle Cell	
SAR1AP3	C0002895	Anemia, Sickle Cell	
PRDM5	C0002895	Anemia, Sickle Cell	
ATP6V0A4	C0002895	Anemia, Sickle Cell	
LOC101927854	C0002895	Anemia, Sickle Cell	
THRB	C0002895	Anemia, Sickle Cell	
PDE5A	C0002895	Anemia, Sickle Cell	
MAD2L1	C0002895	Anemia, Sickle Cell	
RNA5SP87	C0002895	Anemia, Sickle Cell	
